en,fi,description,file,hash
"Duplicate from path, redirect not added: %s","Polku oli jo olemassa, ohjausta ei lisätty: %s",,site/modules/ProcessRedirects/ProcessRedirects.module,3f78eb26f8011cfb839597eb3c4bbe57
"Saved redirects (%1$d skipped, %2$d added, %3$d updated)","Ohjaukset tallennettu (%1$d ohitettua, %2$d lisättyä, %3$d päivitettyä)",,site/modules/ProcessRedirects/ProcessRedirects.module,86cf14227c92ba60c54c3c1f1082b775
Nothing to delete.,Ei poistettavaa.,,site/modules/ProcessRedirects/ProcessRedirects.module,aea31f9130e986d7a7c8eb8e217948ca
Deleted %d redirect.,Poistettiin %d ohjaus.,"Singular form",site/modules/ProcessRedirects/ProcessRedirects.module,08245f4a7f61d0c0ee2891e52581acda
Deleted %d redirects.,Poistettiin %d ohjausta.,"Plural form",site/modules/ProcessRedirects/ProcessRedirects.module,f37728a800e19f2567b18eb2f9162c72
Import from,Lähde,,site/modules/ProcessRedirects/ProcessRedirects.module,7541fe5b66661ddf8318250df45a8c3e
Text input,Tekstisyöte,,site/modules/ProcessRedirects/ProcessRedirects.module,1b750a133cb9a70ce24006f0d8225267
File upload,Tiedosto,,site/modules/ProcessRedirects/ProcessRedirects.module,c4265549c1f4d79aea1e279149a6a084
"Comma separated list, where each line contains one redirect (redirect_from,redirect_to).","Pilkkueroteltu lista, jossa jokainen rivi sisältää yhden ohjauksen (lahdeosoite,kohdeosoite).",,site/modules/ProcessRedirects/ProcessRedirects.module,8738b03aa965ccc1a0e39114a40bdaf2
Example,Esimerkki,,site/modules/ProcessRedirects/ProcessRedirects.module,0a52730597fb4ffa01fc117d9e71e3a9
"/campaign/,/products/tools/offers/","/kampanja/,/tuotteet/tyokalut/tarjoukset/",Example URL,site/modules/ProcessRedirects/ProcessRedirects.module,cd242c521eed9651189f528841006a72
"/another-campaign/,https://www.example.com","/toinen-kampanja/,https://www.example.com",Example URL,site/modules/ProcessRedirects/ProcessRedirects.module,deaf7c0e752fa6ff6199ff6a9cb791fd
"/index.php?page=2,/about-us/","/index.php?page=2,/tietoa-meista/",Example URL,site/modules/ProcessRedirects/ProcessRedirects.module,b22f39c211af8f1babcc5f0bdfd996fe
"/shop/products/*,/products/","/kauppa/tuotteet/*,/tuotteet/",Example URL,site/modules/ProcessRedirects/ProcessRedirects.module,1217d5b3b19ad9056b79f7c43726b230
Upload file,Lataa tiedosto,,site/modules/ProcessRedirects/ProcessRedirects.module,ffeed24e8e4fd763c1d0d02c6e5d6e15
"Import redirects by uploading a CSV file. Each row should contain two comma separated values: local source path (1) and redirect target (2).","Tuo ohjaukset lataamalla CSV-tiedosto sivustolle. Kunkin rivin tulisi sisältää kaksi pilkulla erotettua arvoa: paikallinen lähdepolku (1) ja ohjauksen kohde (2).",,site/modules/ProcessRedirects/ProcessRedirects.module,77131b4a41a0b4addb612cfc5d986ae5
"1. Source path should be a non-existing path on current site (e.g. /some/path/).
2. Redirect target may be local path (/path/to/page/), external URL (https://www.example.com/), or page ID prefixed with a caret (e.g. ^1234).","1. Lähdepolku on suhteellinen polku, joka ei saa vastata sivustolta jo löytyvää sivua (esim. /joku/polku/).
2. Ohjauksen kohde voi olla paikallinen polku (/sivun/polku/sivustolla/), ulkopuolinen URL-osoite (https://www.example.com/), tai sivun ID jonka edessä on hattumerkkki (^1234).",,site/modules/ProcessRedirects/ProcessRedirects.module,22cee471d02d6df42a7c465200083728
Add New Redirects,Lisää ohjauksia,,site/modules/ProcessRedirects/ProcessRedirects.module,38a1399e5b1eee44dce4edd808ee2a0a
Instructions,Ohjeet,,site/modules/ProcessRedirects/ProcessRedirects.module,49cc8e6220245b65cd7d20fc6ccc74f5
"The value in the ""Redirect From"" field should be a local, relative path — such as `/some/path/`. Provided path must also not match that of any existing page; existing page always takes precedence over a redirect, effectively rendering the redirect inactive.","\"Lähdeosoite\" -kentän arvon tulisi olla paikallinen, suhteellinen polku — esimerkiksi `/jokin/sivu/`. Annettu polku ei saa vastata sivustolta löytyvää sivua; sivustolle lisätty sivu on aina ensisijainen, jolloin sitä vastaava ohjaus on käytännössä poissa toiminnasta.",,site/modules/ProcessRedirects/ProcessRedirects.module,a62d7651532c15520c26b2b05fdf9991
Examples of supported values:,Esimerkkejä tuetuista arvoista:,,site/modules/ProcessRedirects/ProcessRedirects.module,23be2551bacfef27e405678e82940ce5
"- Path with one or more parts: `/campaign/`, `/old/site/path/`, etc.","- Polku jossa on yksi tai useampi osa: `/kampanja/`, `/vanhan/sivuston/polku/`, jne.",,site/modules/ProcessRedirects/ProcessRedirects.module,3fec1c4c9165da1babc568607d815d8d
- Path with a file extension: `/products/t-shirt.html`,- Polku jossa on tiedostopääte: `/tuotteet/t-paita.html`,,site/modules/ProcessRedirects/ProcessRedirects.module,18145bafcfa326e1ab0f0ad06bff2370
- Path with a query string: `/index.php?page=2`,- Parametreja sisältävä polku: `/index.php?page=2`,,site/modules/ProcessRedirects/ProcessRedirects.module,948d15d88b930bbf1cbfb2a7dbe4c58e
"You may use ""`*`"" as a wildcard for matching zero or more characters: `/products/*` would match `/products/`, `/products/t-shirt/`, etc.","Voit käyttää merkkiä ""`*`"" jokerimerkkinä, eli korvaamaan mitä tahansa (yhtä tai useampaa) muuta merkkiä: `/tuotteet/*` toimisi muun muassa poluille `/tuotteet/`, `/tuotteet/t-paita/`, jne.",,site/modules/ProcessRedirects/ProcessRedirects.module,ef5b8b39d6ef2dc1981a7f9eb10339ff
